Sample-id	sampleids	Time-point	Cage	Condition	Replicate
#q2:types	categorical	numeric	categorical	categorical	numeric
S1	4A	4	A	Control	1
S2	4B	4	B	Control	1
S3	4C	4	C	Control	1
S4	5A1-C	5	A	Control	1
S5	5A1-P	5	A	PEITC	1
S6	5A2-C	5	A	Control	2
S7	5A2-P	5	A	PEITC	2
S8	5A3-C	5	A	Control	3
S9	5A3-P	5	A	PEITC	3
S10	5B1-C	5	B	Control	1
S11	5B1-P	5	B	PEITC	1
S12	5B2-C	5	B	Control	2
S13	5B2-P	5	B	PEITC	2
S14	5B3-C	5	B	Control	3
S15	5B3-P	5	B	PEITC	3
S16	5C1-C	5	C	Control	1
S17	5C1-P	5	C	PEITC	1
S18	5C2-C	5	C	Control	2
S19	5C2-P	5	C	PEITC	2
S20	5C3-C	5	C	Control	3
S21	5C3-P	5	C	PEITC	3
S22	9A1-C	9	A	Control	1
S23	9A1-P	9	A	PEITC	1
S24	9A2-C	9	A	Control	2
S25	9A2-P	9	A	PEITC	2
S26	9A3-C	9	A	Control	3
S27	9A3-P	9	A	PEITC	3
S28	9B1-C	9	B	Control	1
S29	9B1-P	9	B	PEITC	1
S30	9B2-C	9	B	Control	2
S31	9B2-P	9	B	PEITC	2
S32	9B3-C	9	B	Control	3
S33	9B3-P	9	B	PEITC	3
S34	9C1-C	9	C	Control	1
S35	9C1-P	9	C	PEITC	1
S36	9C2-C	9	C	Control	2
S37	9C2-P	9	C	PEITC	2
S38	9C3-C	9	C	Control	3
S39	9C3-P	9	C	PEITC	3
